Date,Open,High,Low,Close,Volume
2023-01-01,100.0,100.52,99.72,100.5,916963
2023-01-02,100.5,102.05,99.6,101.36,876081
2023-01-03,101.36,101.39,101.13,101.35,1001606
2023-01-04,101.35,101.55,99.56,100.21,1013482
2023-01-05,100.21,100.8,98.92,99.73,851949
2023-01-06,99.73,101.78,99.39,101.07,896643
2023-01-07,101.07,103.31,100.98,102.96,879014
2023-01-08,102.96,105.24,102.13,104.61,1068919
2023-01-09,104.61,106.4,104.21,105.37,1015612
2023-01-10,105.37,107.79,104.47,107.13,1023205
2023-01-11,107.13,108.63,106.89,108.58,936816
2023-01-12,108.58,108.83,107.95,108.06,933392
2023-01-13,108.06,109.8,107.66,109.41,912852
2023-01-14,109.41,110.63,108.7,109.6,1032739
2023-01-15,109.6,110.4,109.35,109.53,963836
2023-01-16,109.53,112.91,108.92,112.19,1055384
2023-01-17,112.19,115.34,111.93,114.45,859630
2023-01-18,114.45,115.29,114.21,114.99,1132872
2023-01-19,114.99,117.85,114.23,117.48,968689
2023-01-20,117.48,120.73,117.17,120.18,923988
2023-01-21,120.18,122.01,119.48,121.69,1119346
2023-01-22,121.69,122.9,120.48,122.63,1002857
2023-01-23,122.63,122.69,122.32,122.45,1038233
2023-01-24,122.45,125.37,122.37,124.84,964485
2023-01-25,124.84,128.72,123.63,128.04,1108233
2023-01-26,128.04,128.96,126.65,127.52,1011091
2023-01-27,127.52,128.77,127.37,127.95,980429
2023-01-28,127.95,130.3,126.83,129.07,929016
2023-01-29,129.07,130.58,127.89,130.35,1111155
2023-01-30,130.35,131.65,129.56,130.81,895851
2023-01-31,130.81,133.76,129.79,133.05,1009106
2023-02-01,133.05,133.48,132.2,132.22,1128729
2023-02-02,132.22,135.95,131.82,134.83,867377
2023-02-03,134.83,138.72,134.71,137.42,995797
2023-02-04,137.42,138.46,135.61,136.65,888517
2023-02-05,136.65,138.23,136.29,137.48,1111729
2023-02-06,137.48,138.3,136.74,138.01,1068979
2023-02-07,138.01,138.44,136.18,137.55,1044963
2023-02-08,137.55,138.68,137.38,137.97,917409
2023-02-09,137.97,138.78,137.57,137.89,916065
2023-02-10,137.89,138.76,136.3,136.61,1121626
2023-02-11,136.61,138.58,136.29,138.49,1050693
2023-02-12,138.49,138.67,136.32,137.6,1021312
2023-02-13,137.6,138.78,136.49,137.7,907122
2023-02-14,137.7,138.29,135.57,136.14,990107
2023-02-15,136.14,138.01,134.8,137.09,879525
2023-02-16,137.09,137.55,135.42,136.6,924596
2023-02-17,136.6,137.21,134.58,135.15,933563
2023-02-18,135.15,136.4,133.27,133.86,1108404
2023-02-19,133.86,133.93,132.36,133.7,1100808
2023-02-20,133.7,136.38,132.56,135.13,899893
2023-02-21,135.13,135.42,133.99,134.53,867590
2023-02-22,134.53,135.86,133.07,133.42,1085221
2023-02-23,133.42,133.98,131.28,132.55,1148626
2023-02-24,132.55,133.5,131.8,132.0,939012
2023-02-25,132.0,133.8,131.29,133.03,1074392
2023-02-26,133.03,133.81,129.71,130.36,1105815
2023-02-27,130.36,131.62,127.98,128.08,905747
2023-02-28,128.08,128.95,127.17,127.47,885965
2023-03-01,127.47,128.26,126.71,127.95,1035814
2023-03-02,127.95,128.69,125.91,126.57,1130411
2023-03-03,126.57,127.48,124.07,124.37,968735
2023-03-04,124.37,124.74,123.52,123.91,1075559
2023-03-05,123.91,124.48,120.0,121.21,1148828
2023-03-06,121.21,121.47,118.24,118.56,1129977
2023-03-07,118.56,119.87,118.12,118.82,897324
2023-03-08,118.82,119.76,118.1,118.92,1146169
2023-03-09,118.92,118.93,117.41,118.38,939813
2023-03-10,118.38,119.49,117.72,117.88,884628
2023-03-11,117.88,118.53,115.12,115.43,1031448
2023-03-12,115.43,115.67,114.44,115.17,929195
2023-03-13,115.17,116.22,113.18,114.15,877689
2023-03-14,114.15,114.46,112.94,112.94,1081335
2023-03-15,112.94,113.24,111.67,112.5,1015504
2023-03-16,112.5,112.52,111.32,111.41,1114931
2023-03-17,111.41,112.56,110.48,111.95,1024752
2023-03-18,111.95,112.1,109.68,110.02,1119694
2023-03-19,110.02,111.26,109.03,110.31,913022
2023-03-20,110.31,110.42,108.0,108.84,1115240
2023-03-21,108.84,109.52,107.81,107.98,1128964
2023-03-22,107.98,109.72,107.1,108.66,1114424
2023-03-23,108.66,109.46,106.33,106.68,1129244
2023-03-24,106.68,108.22,105.82,107.29,930041
2023-03-25,107.29,108.05,106.36,107.93,1107577
2023-03-26,107.93,108.81,106.33,106.82,941557
2023-03-27,106.82,107.87,106.79,107.62,907938
2023-03-28,107.62,108.55,105.97,107.01,933737
2023-03-29,107.01,107.9,105.96,107.47,1010864
2023-03-30,107.47,109.1,106.43,108.98,903570
2023-03-31,108.98,110.95,108.86,110.66,980369
2023-04-01,110.66,112.01,109.99,111.66,1003426
2023-04-02,111.66,112.31,111.32,111.61,1062635
2023-04-03,111.61,112.64,109.75,110.35,1065828
2023-04-04,110.35,112.37,109.95,111.62,870992
2023-04-05,111.62,113.1,111.27,112.73,1104404
2023-04-06,112.73,114.45,112.38,114.11,972517
2023-04-07,114.11,114.82,113.96,114.48,976133
2023-04-08,114.48,117.57,113.45,116.78,1034654
2023-04-09,116.78,117.58,116.78,116.94,936074
2023-04-10,116.94,118.3,116.17,117.62,989496
2023-04-11,117.62,118.65,117.06,118.4,1120354
2023-04-12,118.4,120.7,118.3,120.49,1004635
2023-04-13,120.49,122.5,119.51,122.09,1075341
2023-04-14,122.09,124.17,121.84,123.89,857327
2023-04-15,123.89,124.76,122.84,124.17,871848
2023-04-16,124.17,125.9,123.93,125.11,1058906
2023-04-17,125.11,126.7,124.29,126.39,851663
2023-04-18,126.39,129.67,126.26,128.68,977543
2023-04-19,128.68,130.04,128.02,128.81,865065
2023-04-20,128.81,130.32,128.22,129.23,1090424
2023-04-21,129.23,132.57,128.46,131.27,1135011
2023-04-22,131.27,135.05,130.33,134.23,1001433
2023-04-23,134.23,137.75,133.02,137.0,1073096
2023-04-24,137.0,138.7,136.66,138.34,1041298
2023-04-25,138.34,141.61,137.47,140.88,932379
2023-04-26,140.88,141.28,140.14,140.52,945912
2023-04-27,140.52,142.28,140.2,142.08,1058184
2023-04-28,142.08,144.41,141.5,144.32,1012783
2023-04-29,144.32,145.58,143.71,145.28,1121451
2023-04-30,145.28,147.95,144.04,146.93,1079678
2023-05-01,146.93,147.63,146.41,147.62,1076042
2023-05-02,147.62,151.78,147.0,150.35,1074254
2023-05-03,150.35,152.57,150.01,151.66,915826
2023-05-04,151.66,152.43,151.15,152.39,1053742
2023-05-05,152.39,153.15,151.68,152.89,888288
2023-05-06,152.89,154.35,152.29,154.3,1019317
2023-05-07,154.3,155.3,152.67,152.87,988509
2023-05-08,152.87,153.45,151.14,151.46,948053
2023-05-09,151.46,153.77,150.32,153.19,1099577
2023-05-10,153.19,153.32,152.47,152.5,1011825
2023-05-11,152.5,155.66,151.51,155.12,1084369
2023-05-12,155.12,157.23,153.64,156.05,909808
2023-05-13,156.05,156.29,153.73,153.93,1050837
2023-05-14,153.93,154.56,152.85,154.23,1080069
2023-05-15,154.23,155.17,151.45,152.59,884359
2023-05-16,152.59,155.33,152.42,153.84,857703
2023-05-17,153.84,154.89,151.2,152.66,968996
2023-05-18,152.66,153.34,151.61,153.23,1038172
2023-05-19,153.23,154.41,149.59,150.88,1030123
2023-05-20,150.88,152.36,147.39,148.55,954161
2023-05-21,148.55,149.11,146.8,147.55,952369
2023-05-22,147.55,149.54,147.39,148.32,1138236
2023-05-23,148.32,149.55,147.02,148.07,980646
2023-05-24,148.07,149.6,147.67,148.17,1092459
2023-05-25,148.17,148.89,146.7,147.34,1069307
2023-05-26,147.34,148.59,144.04,145.25,875998
2023-05-27,145.25,146.16,144.57,145.8,1033099
2023-05-28,145.8,145.85,142.88,144.11,904551
2023-05-29,144.11,145.26,141.18,141.67,1114095
2023-05-30,141.67,142.06,141.29,141.3,1134418
2023-05-31,141.3,142.32,137.63,138.3,1077449
2023-06-01,138.3,139.2,137.18,137.85,1087879
2023-06-02,137.85,138.16,133.98,134.91,941861
2023-06-03,134.91,135.55,133.29,134.01,977651
2023-06-04,134.01,134.45,132.82,133.76,931274
2023-06-05,133.76,133.92,131.28,131.54,885866
2023-06-06,131.54,132.54,130.24,130.48,914915
2023-06-07,130.48,131.43,127.99,129.25,1007391
2023-06-08,129.25,129.38,127.03,127.28,918244
2023-06-09,127.28,127.29,124.3,124.96,932293
2023-06-10,124.96,126.4,124.09,125.71,887883
2023-06-11,125.71,126.72,124.61,126.1,1022219
2023-06-12,126.1,126.65,124.79,125.02,865413
2023-06-13,125.02,126.38,124.0,125.78,970212
2023-06-14,125.78,126.57,123.26,123.33,894759
2023-06-15,123.33,123.7,121.57,122.79,885535
2023-06-16,122.79,123.81,121.82,123.06,917706
2023-06-17,123.06,123.62,121.97,122.51,1108049
2023-06-18,122.51,124.13,121.75,123.75,1032889
2023-06-19,123.75,125.33,123.5,124.16,913307
2023-06-20,124.16,124.54,123.94,124.34,872519
2023-06-21,124.34,124.9,121.43,122.16,937377
2023-06-22,122.16,123.02,120.08,120.93,986209
2023-06-23,120.93,122.58,119.98,121.46,1037517
2023-06-24,121.46,123.12,120.94,121.98,1013368
2023-06-25,121.98,123.65,120.97,122.53,871422
2023-06-26,122.53,122.91,120.5,121.41,1020762
2023-06-27,121.41,121.56,120.0,120.83,1059920
2023-06-28,120.83,123.32,120.23,122.71,874132
2023-06-29,122.71,123.24,120.99,121.38,925110
2023-06-30,121.38,122.55,119.33,120.34,1022559
2023-07-01,120.34,123.71,119.53,122.49,930853
2023-07-02,122.49,123.41,120.84,121.41,1045452
2023-07-03,121.41,123.84,120.7,123.61,1040435
2023-07-04,123.61,124.47,123.18,124.35,949992
2023-07-05,124.35,126.92,123.94,125.84,1058102
2023-07-06,125.84,127.16,124.81,125.97,1015028
2023-07-07,125.97,127.19,125.56,126.79,1141055
2023-07-08,126.79,128.15,125.54,127.49,1047298
2023-07-09,127.49,129.32,127.25,128.78,958533
2023-07-10,128.78,131.78,127.8,130.96,911067
2023-07-11,130.96,133.64,130.39,132.42,1059475
2023-07-12,132.42,133.7,131.42,132.22,921789
2023-07-13,132.22,132.95,131.49,132.22,877962
2023-07-14,132.22,136.78,131.61,135.55,885239
2023-07-15,135.55,139.02,134.57,138.33,1002661
2023-07-16,138.33,140.03,136.97,138.87,923119
2023-07-17,138.87,141.12,137.59,140.58,1002472
2023-07-18,140.58,144.94,140.19,143.7,1087001
2023-07-19,143.7,146.23,142.97,144.88,1096164
2023-07-20,144.88,145.92,144.03,145.49,1149670
2023-07-21,145.49,147.2,144.7,146.98,953537
2023-07-22,146.98,149.54,146.31,148.73,946533
2023-07-23,148.73,149.89,147.88,148.85,920068
2023-07-24,148.85,151.62,147.74,151.55,1061568
2023-07-25,151.55,155.01,150.55,154.41,1096224
2023-07-26,154.41,158.84,154.36,158.06,1000687
2023-07-27,158.06,161.26,156.68,159.87,982091
2023-07-28,159.87,162.06,158.72,161.33,972993
2023-07-29,161.33,163.59,160.57,163.34,1140761
2023-07-30,163.34,164.88,162.28,163.74,1105529
2023-07-31,163.74,168.01,163.12,166.58,944998
2023-08-01,166.58,169.98,165.12,168.69,860769
2023-08-02,168.69,169.76,165.9,167.44,1149227
2023-08-03,167.44,170.24,167.28,169.5,1040124
2023-08-04,169.5,172.88,168.33,172.12,1121027
2023-08-05,172.12,173.49,169.89,170.39,962452
2023-08-06,170.39,171.29,168.1,169.06,1087755
2023-08-07,169.06,169.2,166.29,167.75,1035913
2023-08-08,167.75,169.28,166.45,166.69,988344
2023-08-09,166.69,167.12,165.57,165.58,1091389
2023-08-10,165.58,168.72,165.32,167.58,982518
2023-08-11,167.58,168.57,165.63,166.69,977292
2023-08-12,166.69,168.1,164.88,165.21,965407
2023-08-13,165.21,165.6,163.84,164.78,1022443
2023-08-14,164.78,167.26,163.17,166.76,1047468
2023-08-15,166.76,167.71,163.93,165.07,1073400
2023-08-16,165.07,166.07,161.36,162.16,1121246
2023-08-17,162.16,163.46,159.4,160.37,955696
2023-08-18,160.37,161.36,159.1,160.18,1066278
2023-08-19,160.18,161.53,159.02,160.02,1121021
2023-08-20,160.02,160.52,159.01,159.71,1023872
2023-08-21,159.71,159.88,159.24,159.74,1074244
2023-08-22,159.74,159.95,156.18,157.03,1141446
2023-08-23,157.03,158.46,154.68,155.97,927091
2023-08-24,155.97,157.0,154.71,156.24,1073967
2023-08-25,156.24,156.42,152.7,154.19,892227
2023-08-26,154.19,156.35,153.07,155.02,1143982
2023-08-27,155.02,157.08,154.45,155.83,1087204
2023-08-28,155.83,156.66,151.46,152.15,1051848
2023-08-29,152.15,153.04,150.31,151.55,1132087
2023-08-30,151.55,151.91,148.34,148.38,1115270
2023-08-31,148.38,149.74,146.96,147.29,868965
2023-09-01,147.29,148.71,146.85,147.37,972488
2023-09-02,147.37,148.77,144.0,144.44,997787
2023-09-03,144.44,145.72,141.21,141.4,986093
2023-09-04,141.4,142.45,139.55,140.88,975738
2023-09-05,140.88,141.1,140.12,140.7,879706
2023-09-06,140.7,141.28,138.17,139.49,859814
2023-09-07,139.49,140.11,136.53,137.84,1106635
2023-09-08,137.84,138.79,134.41,135.14,1143352
2023-09-09,135.14,135.68,133.35,133.6,886647
2023-09-10,133.6,134.71,132.72,134.1,1042511
2023-09-11,134.1,134.13,132.61,133.66,923070
2023-09-12,133.66,134.41,131.31,131.4,1079547
2023-09-13,131.4,131.68,128.44,129.57,948567
2023-09-14,129.57,130.74,127.61,127.61,1107521
2023-09-15,127.61,127.78,125.43,125.75,902349
2023-09-16,125.75,125.97,125.73,125.94,1086995
2023-09-17,125.94,126.35,124.4,124.62,865719
2023-09-18,124.62,125.94,123.69,125.28,992873
2023-09-19,125.28,126.82,125.15,126.17,1001151
2023-09-20,126.17,127.84,125.18,127.79,1110094
2023-09-21,127.79,128.48,126.56,127.89,868247
2023-09-22,127.89,128.44,127.01,127.92,997080
2023-09-23,127.92,129.79,127.82,129.7,1032489
2023-09-24,129.7,130.05,127.49,128.31,1014506
2023-09-25,128.31,129.58,127.34,128.02,986114
2023-09-26,128.02,129.02,127.12,128.9,1105837
2023-09-27,128.9,131.04,127.97,130.04,914506
2023-09-28,130.04,130.8,129.6,130.51,986049
2023-09-29,130.51,131.04,129.95,130.92,1049532
2023-09-30,130.92,131.44,129.71,131.24,870139
2023-10-01,131.24,133.57,131.12,133.45,1071638
2023-10-02,133.45,136.44,132.67,135.69,1018475
2023-10-03,135.69,136.23,135.21,136.07,1049602
2023-10-04,136.07,139.43,135.09,138.23,1140519
2023-10-05,138.23,140.37,137.44,139.87,913821
2023-10-06,139.87,142.14,139.72,141.83,1103612
2023-10-07,141.83,143.71,141.01,142.63,1092166
2023-10-08,142.63,146.94,141.46,145.52,1034071
2023-10-09,145.52,147.67,144.17,147.63,1098838
2023-10-10,147.63,148.4,146.59,148.13,942695
2023-10-11,148.13,149.0,146.85,148.99,1019896
